# Start logging at 2021-10-02 16:13:29 Mitteleuropäische Sommerzeit
[16:13:29] connected
[16:14:06] j0nas500 redeemed Trink Wasser 200
[16:14:26] j0nas500 is live!
[16:15:40]  annitheghost: Halluuu
[18:01:36]  lillyisthier: pyro aber auf jeden Fall als Nachnamen
[18:02:30]  tsd_pyro: wen gab es bei den mädchen ?
[18:02:45]  lillyisthier: soll ich jetzt beleidigt sein weil es mich nicht gibt?
[18:03:01]  lillyisthier: oder ist das ein Kompliment?
[18:03:13]  tsd_pyro: ja was ist wen ich lilly nehme
[18:03:57]  lillyisthier: lol
[18:03:59]  j0nas500: Alle Befehle: https://j0nas500.de/commands
[18:04:31]  tsd_pyro: eli ja und liööy darf auch entscheiden
[18:04:35]  tsd_pyro: lilly
[18:04:43]  lillyisthier: Gurke bitte
[18:05:08]  tsd_pyro: steve
[18:05:11]  lillyisthier: einfach because
[18:06:47]  lillyisthier: wenn du die Sims als Familie haben willst musst du das irgendwie noch einstellen ansonsten sind wir mehr eine wg
[18:07:28]  tsd_pyro: WhatsApp ?
[18:07:42]  tsd_pyro: nein da ist ein bild
[18:08:18]  lillyisthier: hast du die Kinder jetzt als pyros Geschwister?
[18:09:28]  otp_elias: Warum kriegn ich nur bei dir entweder cptn morgan werbung oder Ernährung Werbung
[18:10:47]  lillyisthier: Profile Bild?
[18:11:24]  otp_elias: ok zombie walk
[18:11:31]  lillyisthier: mach einfach normal
[18:11:47]  lillyisthier: bitte
[18:11:54]  otp_elias: !rename
[18:11:55]  streamelements: @otp_elias, Verwendung: !rename ALTERNAME
[18:12:16]  lillyisthier: Geld
[18:12:26]  otp_elias: @StreamElements ok danke
[18:12:30]  lillyisthier: divians geht auch
[18:13:21]  lillyisthier: lass es einfach aus
[18:13:37]  lillyisthier: ich bin eindeutig ein Genie
[18:14:18]  lillyisthier: ordentlich kennst du mich eigentlich?
[18:16:46]  lillyisthier: warum darf er ein Genie sein aber ich muss ordentlich sein?
[18:17:47]  lillyisthier: immerhin bin ich nicht gender swapped wie steve
[18:18:26]  lillyisthier: geh auf die ober Welt und wähle den Haushalt da
[18:20:58]  lillyisthier: braun
[18:21:31]  lillyisthier: weil mein Instergram so ne gute repäsentation von mir ist
[18:21:53]  lillyisthier: ja
[18:22:01]  lillyisthier: Mittel Scheitel
[18:22:25]  lillyisthier: meine Brille ist blau
[18:22:29]  j0nas500: Schau doch gerne mal bei unserer Community-Webseite vorbei :) https://mvbuddies.de
[18:23:50]  zukado_: Moin
[18:24:08]  fabxx45: oach lion ist so ein joke
[18:24:24]  lillyisthier: als ob ich so große Titten habe
[18:24:50]  zukado_: Wie gehts dir?
[18:24:56]  zukado_: @lillyisthier HAHAHAHAH
[18:25:05]  lillyisthier: sollte da sein eigentlich
[18:25:51]  lillyisthier: all die Vorzüge der weiblichen Figur halt
[18:26:44]  lillyisthier: ich mag das rote mit dem Hals band
[18:26:53]  zukado_: PepeLaugh PepeLaugh
[18:27:26]  lillyisthier: BibleThump BibleThump BibleThump BibleThump
[18:27:42]  lillyisthier: ich schlafe nackt
[18:28:18]  lillyisthier: fuck
[18:28:35]  lillyisthier: dann Unterwäsche
[18:28:36]  zukado_: wenn zensiert wird, gehts doch
[18:29:01]  zukado_: PressF PressF an lilly
[18:29:31]  zukado_: Jonas sag mal UwU für mich bitte
[18:29:45]  lillyisthier: gib mir das rot mit Halsband  so eins hab ich wirklich in Schwarz
[18:29:55]  zukado_: FeelsSpecialMan pepeGun los
[18:30:46]  lillyisthier: nein das rote Kleid mit rotem Halsband
[18:31:23]  lillyisthier: gehört zusammen
[18:31:44]  lillyisthier: ja!!!!!!!!!!!
[18:35:42]  lillyisthier: must auf Körper Form gehen
[18:36:16]  lillyisthier: über dem T-Shirt icon oder der ganz oben
[18:37:14]  lillyisthier: sorry dann weiß ich auch nicht weiter
[18:39:37]  zukado_: Hast lion schon?
[18:42:33]  fabxx45: bin back
[18:42:51]  fabxx45: der arme jonas und elias muss einfach für lion arbeiten gehen
[18:43:48]  fabxx45: weil lion schüler ist und du mit ihm in einem haushalt lebst
[18:44:21]  fabxx45: weil allein das haushalt von dienem geld allein schwierig
[18:46:13]  fabxx45: das zweite sehr gut
[18:46:14]  fabxx45: XD
[18:46:19]  j0nas500: Auf diesem Discord Server quatschen und schreiben wir immer: https://jnkl.de/dc
[18:47:02]  fabxx45: hast du schon den neuen code in dbd eingegeben
[18:50:50]  fabxx45: so jetzt zurück
[18:50:55]  fabxx45: udn dan nherz vom haushalt weg
[18:52:19]  fabxx45: mach mal steve bilder weg
[18:52:41]  fabxx45: jetzt sieht man was
[18:53:40]  fabxx45: die werden halt alle instant sterben
[18:54:01]  fabxx45: kein kühlschrank nix zum schlafen
[18:54:04]  fabxx45: die haben garnix
[18:55:19]  fabxx45: ich hab das immer so gemacht die dort mit dem einem leben lassen
[18:55:28]  fabxx45: und dannach den einen wegziehen lassen irgendwo random hin
[19:10:21] Now hosting DEANjpg.
[19:10:49] j0nas500 is now offline.
[20:50:21] deanjpg has gone offline. Exiting host mode.
