# Start logging at 2021-10-25 14:05:01 Mitteleuropäische Sommerzeit
[14:05:01] connected
[14:08:54] j0nas500 is live!
# Start logging at 2021-10-25 14:09:05 Mitteleuropäische Sommerzeit
[14:09:05] connected
[14:09:07] j0nas500 is live!
[16:09:42]  j0nas500: a
[18:03:08]  kingjulienkj: kingju20Rawr
[18:03:37]  kingjulienkj: Hello
[18:03:47]  kingjulienkj: ShowLove1
[18:07:15]  fabxx45: hier ist ein langzeitarbeitsloser namens kj
[18:11:18]  bjarne02: Was machst du da?!
[18:33:15]  sinahund78: Theater woop woop
[18:34:38] This channel is intended for mature audiences.
[18:34:38] This channel has follower or subscriber only chat.
[18:34:44]  sinahund78: Wir mussten sogar bezahlen lol
[18:35:29]  sinahund78: Mean, ich musste schon bezahlen
[18:35:55] Now hosting jaypee1988.
[18:37:02] j0nas500 is now offline.
